IP,Date,Time,Accepted-cookies,Device type,Browser anguage,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2024-02-12,05:42:17 UTC,necessary,desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
185.197.192.57,2024-05-18,20:05:21 UTC,necessary,desktop,en,Chrome,OS X,United States,FL,Florida,Miami,33197,25.7689,-80.1946
